web-scraper-order,web-scraper-start-url,container_link,container_link-href,marque,année,prix,adresse,propriétaire
"1752497168-1","https://dakar-auto.com/senegal/location-de-voitures-19","Ford Fusion 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-137304","Ford Fusion 2013 Dakar","1 km","30 000 F CFA","Point-E","TECHZONE ."
"1752497171-2","https://dakar-auto.com/senegal/location-de-voitures-19","Citroen Ds4 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/citroen/ds4/annonce-137347","Citroen Ds4 2014 Dakar","Année: 2014","30 000 F CFA","Guédiawaye","unicar UNICAR"
"1752497173-3","https://dakar-auto.com/senegal/location-de-voitures-19","Ford Minibus 2015","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/minibus/annonce-137402","Ford Minibus 2015 Dakar","Année: 2015","75 000 F CFA","Médina","Kena Impact  Groupes"
"1752497176-4","https://dakar-auto.com/senegal/location-de-voitures-19","Mitsubishi Asx 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mitsubishi/asx/annonce-137678","Mitsubishi Asx 2014 Dakar","Année: 2014","40 000 F CFA","Ouest Foire","Rent Auto"
"1752497179-5","https://dakar-auto.com/senegal/location-de-voitures-19","Kia Sportage 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/sportage/annonce-137868","Kia Sportage 2012 Dakar","Année: 2012","35 000 F CFA","Almadies","Moustapha SAMBA"
"1752497182-6","https://dakar-auto.com/senegal/location-de-voitures-19","Nissan ROGUE-SL-AWD 2015","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/nissan/rogue-sl-awd/annonce-137867","Nissan ROGUE-SL-AWD 2015 Dakar","Année: 2015","35 000 F CFA","Thiès","AlfaBusinessGroup BARRY"
"1752497185-7","https://dakar-auto.com/senegal/location-de-voitures-19","Hyundai Elantra 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-138103","Hyundai Elantra 2013 Dakar","Année: 2013","19 500 F CFA","Nord Foire","Mouhamed Diallo"
"1752497188-8","https://dakar-auto.com/senegal/location-de-voitures-19","Hyundai Starex-12-places 2020","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/starex-12-places/annonce-138259","Hyundai Starex-12-places 2020 Dakar","Année: 2020","50 000 F CFA","Pikine Ouest","David  Niang"
"1752497198-9","https://dakar-auto.com/senegal/location-de-voitures-19","Hyundai Sonata 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/sonata/annonce-138372","Hyundai Sonata 2014 Dakar","Année: 2014","37 000 F CFA","Parcelles Assainies","DRT Automobile"
"1752497208-10","https://dakar-auto.com/senegal/location-de-voitures-19","Hyundai Sonata 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/sonata/annonce-138371","Hyundai Sonata 2014 Dakar","Année: 2014","35 000 F CFA","Parcelles Assainies","DRT Automobile"
"1752497210-11","https://dakar-auto.com/senegal/location-de-voitures-19","Kia Sportage 2015","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/sportage/annonce-138395","Kia Sportage 2015 Dakar","Année: 2015","25 000 F CFA","Almadies","Moustapha SAMBA"
"1752497236-12","https://dakar-auto.com/senegal/location-de-voitures-19","Ford Fusion 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-138438","Ford Fusion 2014 Dakar","10000 km","30 000 F CFA","Médina","Bakay Samassa"
"1752497262-13","https://dakar-auto.com/senegal/location-de-voitures-19","Toyota Verso 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/verso/annonce-138493","Toyota Verso 2014 Dakar","Année: 2014","25 000 F CFA","Mermoz Sacré-Coeur","LocAuto Sénégal Location de voiture"
"1752497304-14","https://dakar-auto.com/senegal/location-de-voitures-19","Hyundai Elantra 2015","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-138492","Hyundai Elantra 2015 Dakar","Année: 2015","20 000 F CFA","Mermoz Sacré-Coeur","LocAuto Sénégal Location de voiture"
"1752497328-15","https://dakar-auto.com/senegal/location-de-voitures-19","Hyundai Elantra 2015","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-138491","Hyundai Elantra 2015 Dakar","Année: 2015","20 000 F CFA","Mermoz Sacré-Coeur","LocAuto Sénégal Location de voiture"
"1752497332-16","https://dakar-auto.com/senegal/location-de-voitures-19","Toyota Rav 4 2020","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/rav-4/annonce-138490","Toyota Rav 4 2020 Dakar","Année: 2020","35 000 F CFA","Mermoz Sacré-Coeur","LocAuto Sénégal Location de voiture"
"1752497345-17","https://dakar-auto.com/senegal/location-de-voitures-19","Ford Fusion 2015","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-138518","Ford Fusion 2015 Dakar","Année: 2015","35 000 F CFA","Cité Keur gorgui","Pape  Cheikh automobile"
"1752497351-18","https://dakar-auto.com/senegal/location-de-voitures-19","Ford Fiesta 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fiesta/annonce-138548","Ford Fiesta 2014 Dakar","Année: 2014","30 000 F CFA","Sangalkam","Medoune Ndiaye"
"1752497356-19","https://dakar-auto.com/senegal/location-de-voitures-19","Peugeot 308 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/peugeot/308/annonce-138621","Peugeot 308 2013 Dakar","Année: 2013","30 000 F CFA","Grand-Yoff","Chic Drive"
"1752497359-20","https://dakar-auto.com/senegal/location-de-voitures-19","Citroen Berlingo 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/citroen/berlingo/annonce-138611","Citroen Berlingo 2014 Dakar","Année: 2014","20 000 F CFA","Médina","Chasseur  Automobile"
